address,amount_idm,amount_wei,tier,note
0xdc4362ed334ce30ee4d43714761747a2bf117abf,491329.49004529,491329490045290000000000,vested_20_6m,transfer terverifikasi
0x2c1af297550746827ce446fa20d46d4b12052daf,479219.34070462,479219340704620000000000,vested_20_6m,transfer terverifikasi
0x233078d2d566511a87f242813b10570fb5599104,466407.71460870,466407714608700000000000,vested_20_6m,transfer terverifikasi
0x122e84360b52f8c6136aa4eb6516398e568b7b52,457810.19972352,457810199723520000000000,vested_20_6m,transfer terverifikasi
0x09c007e71681d254cd65835db5a4e545249c943a,457524.16737788,457524167377880000000000,vested_20_6m,transfer terverifikasi
0x34a86af4121798d859788b3347129a78b0d73cec,439977.90240677,439977902406770000000000,vested_20_6m,transfer terverifikasi
0x83154937573d3236d80720ca57af0ce8e1caec56,424008.60981765,424008609817650000000000,vested_20_6m,transfer terverifikasi
0x6e302bf9770e20a79d678e7ce2a7dc5288efe1c7,420584.68720694,420584687206940000000000,vested_20_6m,transfer terverifikasi
0xd12fb085df4133fde8bd576816a7e253dbebdac0,400827.42484562,400827424845620000000000,vested_20_6m,transfer terverifikasi
0x4e3c387ddbc1b0223a9603f81e04c47711ab0ec3,400689.33855311,400689338553110000000000,vested_20_6m,transfer terverifikasi
0x72e0fa6369c29a45bc298b57389131148481bce2,400677.03837283,400677038372830000000000,vested_20_6m,transfer terverifikasi
0xb592f95ee0a97d959f871fc98352f73ff0bdb69d,390564.99712948,390564997129480000000000,vested_20_6m,transfer terverifikasi
0xadbb2846964df6ce9601f90c3b914d63e2865c7b,364181.78342582,364181783425820000000000,vested_20_6m,transfer terverifikasi
0x62986919bc945daa604905144489e9d1c89cac4b,358359.79265542,358359792655420000000000,vested_20_6m,transfer terverifikasi
0x6bf4a135b5b5256a674d1620dcaf6a5c321be4c9,355907.39693485,355907396934850000000000,vested_20_6m,transfer terverifikasi
0x01a76903177c46033c5c9a9c5107cbe89eef756c,352635.00000000,352635000000000000000000,vested_20_6m,transfer terverifikasi
0x360c027beda8e2af38263dc8d8b2c349b8a64fd9,336277.85284625,336277852846250000000000,vested_20_6m,transfer terverifikasi
0x68870c7ccf7db8ef91a9f9e1bfd48e9402b8542b,331174.66345078,331174663450780000000000,vested_20_6m,transfer terverifikasi
0x89af97d20a4064e3e9ddfa4d01136a790c720608,326494.97951374,326494979513740000000000,vested_20_6m,transfer terverifikasi
0x4d1b8ddc01260209cc60ae80482ccf709566fb5d,326443.37134875,326443371348750000000000,vested_20_6m,transfer terverifikasi
0x72fb470724b9f164683fc1f28ac0902c44343d73,318925.63133607,318925631336070000000000,vested_20_6m,transfer terverifikasi
0xf3f813dd385b61105de2267200b4680df111327a,314923.48284843,314923482848430000000000,vested_20_6m,transfer terverifikasi
0x14652832b25652a1a767ef6597a0be273e4bd828,307020.51038257,307020510382570000000000,vested_20_6m,transfer terverifikasi
0x8282691fd485f87a0f5d69b6e1c45d9ee9cac854,306512.71907301,306512719073010000000000,vested_20_6m,transfer terverifikasi
0x4477e90e9a542e05bafcf7e3fb734580e2bb19ce,305094.20327220,305094203272200000000000,vested_20_6m,transfer terverifikasi
0x3e114c7b91215034747c27875ef4ecb7f7639979,302394.83120195,302394831201950000000000,vested_20_6m,transfer terverifikasi
0x190f32161f4afab25eec693ce3c6d9de64a4ca02,301385.29063085,301385290630850000000000,vested_20_6m,transfer terverifikasi
0xbdcb84084ff86c34d24fbaa3fd138ee577663d3b,301212.54908842,301212549088420000000000,vested_20_6m,transfer terverifikasi
0x6a7b0788d9e2013aa04d2d67e14956c380a93f42,300692.00000000,300692000000000000000000,vested_20_6m,transfer terverifikasi
0xa479caf4e2560d4b530c75fe1fc45b0f2dd20335,300605.00000000,300605000000000000000000,vested_20_6m,transfer terverifikasi
0x720d986d4e3b16e7052ed9e0e92646c579429900,300516.69776265,300516697762650000000000,vested_20_6m,transfer terverifikasi
0x74a2aa862fb8ce329515145f76bc4054f49b0ac3,300513.80060908,300513800609080000000000,vested_20_6m,transfer terverifikasi
0x44c115e55ad6e99245a7602e1c6795312e5842b7,300500.66989861,300500669898610000000000,vested_20_6m,transfer terverifikasi
0x1079c87f82eb1476adfe7bb9f61e5562946c2d1b,287769.51955620,287769519556200000000000,vested_20_6m,transfer terverifikasi
0x3d1d4d838e3922c812182e2bb74fbc469b758c2d,283807.34353391,283807343533910000000000,vested_20_6m,transfer terverifikasi
0xe69d8b4d2e32e3936a2858ca2e5048913c0d0ad8,282003.41135704,282003411357040000000000,vested_20_6m,transfer terverifikasi
0x5feaed5f5606f797e0ca9bb18313bd12a6fa39a6,277181.81791448,277181817914480000000000,vested_20_6m,transfer terverifikasi
0x2369040b32f4a0c275bcff5dfdec3b5257d104a0,275170.48042973,275170480429730000000000,vested_20_6m,transfer terverifikasi
0xb659380ba70c428a76e51e700daddc193faea1be,273452.50882805,273452508828050000000000,vested_20_6m,transfer terverifikasi
0x042b026c91a0dd7b2ba40c7c75636431924860dc,261434.64889257,261434648892570000000000,vested_20_6m,transfer terverifikasi
0xeea0c91e7625a1e49105000c298d5a8e13d8aac1,259793.65232238,259793652322380000000000,vested_20_6m,transfer terverifikasi
0xa13d7df69c9c808155dbe2b229e3cef5c0024678,257620.53513229,257620535132290000000000,vested_20_6m,transfer terverifikasi
0x819fdf5988171743e271b144563c7bbed979c112,256205.03552036,256205035520360000000000,vested_20_6m,transfer terverifikasi
0xb7292efb1d466cb07d12224bc65a354cf5452e4c,255191.65423064,255191654230640000000000,vested_20_6m,transfer terverifikasi
0x33cbd97fdca2e87b6ca9364d1d3c91893d30d0c4,252429.93726518,252429937265180000000000,vested_20_6m,transfer terverifikasi
0x7fa9ad7eece16f2203204b07356150ac260f6621,251997.51166871,251997511668710000000000,vested_20_6m,transfer terverifikasi
0xeb5ad39c1b9a20fe177524f545f8d116f42e55f0,249510.41287496,249510412874960000000000,tge_full,transfer terverifikasi
0x1e0910f85f1e6d912e11160a361346cbd2773819,247947.08849065,247947088490650000000000,tge_full,transfer terverifikasi
0x64a949090494b9961b8b8a12d418fb768d9724a8,246088.00000000,246088000000000000000000,tge_full,transfer terverifikasi
0x40ad26c87dccff98434131ad3d0693b96ea9dcc3,244087.79495386,244087794953860000000000,tge_full,transfer terverifikasi
0x630e27f6a0d8361947ab515cf39c838adc11383f,243284.47326831,243284473268310000000000,tge_full,transfer terverifikasi
0xa3d3e03e717a8a182e0e4eadbde15019132d5645,242492.41938592,242492419385920000000000,tge_full,transfer terverifikasi
0x2917194967e0635cfdc3f227291c12fe7e50180e,237784.89155920,237784891559200000000000,tge_full,transfer terverifikasi
0x9704ce30e8ce8233567498585041ceee3b1da2f6,223646.59910035,223646599100350000000000,tge_full,transfer terverifikasi
0x16d1fc5229fe6388786f5acc8b79a2bbdfc5adc7,221311.63314200,221311633142000000000000,tge_full,transfer terverifikasi
0xcf731d4288dc73d780970badc6c2e048be4150c8,216391.29459688,216391294596880000000000,tge_full,transfer terverifikasi
0x2ae041d0baeb63c0809f72875de29f8331e397dd,215343.85880861,215343858808610000000000,tge_full,transfer terverifikasi
0x7f388e4defe29837bdcb8c6b8cd00e53cfc3c086,214511.88912171,214511889121710000000000,tge_full,transfer terverifikasi
0x02666e20d5ec70973f3ece8a0eb0377dd8847d20,214309.52649892,214309526498920000000000,tge_full,transfer terverifikasi
0x3c77fd2621f9fe3c92e8eac184c8ed8bb946b641,211834.93983734,211834939837340000000000,tge_full,transfer terverifikasi
0xff7c0614feb07b4474c5f2ebe39a34bd9736a206,210697.31111917,210697311119170000000000,tge_full,transfer terverifikasi
0xd8e331427079f7765743826232f902c42cdb3839,208243.87715351,208243877153510000000000,tge_full,transfer terverifikasi
0xd662b3a48848140e5abbb8736aef0d1c6ffd4460,207819.32915369,207819329153690000000000,tge_full,transfer terverifikasi
0xe8e48c472d8cce474c64c4f55777b7f9944faa93,206512.57679553,206512576795530000000000,tge_full,transfer terverifikasi
0x53aef83242a510f2f4320e7f45c92e1de43b35a4,203306.38281051,203306382810510000000000,tge_full,transfer terverifikasi
0x175ff0fbf1a95989e03255bf71a3770dfe10af3e,202828.10610429,202828106104290000000000,tge_full,transfer terverifikasi
0xc3c6f5d1549bc463e708e3681f327a3ab8fe67c3,202825.56331950,202825563319500000000000,tge_full,transfer terverifikasi
